id,title,titleJa,titleEn,image,mean,rank,num_list_users,num_scoring_users,num_episodes,start_date,end_date,media_type,status,rating,average_episode_duration,genres,studios
1,Cowboy Bebop,カウボーイビバップ,Cowboy Bebop,https://cdn.myanimelist.net/images/anime/4/19644.webp,8.75,50,2082786,1073881,26,1998-04-03,1999-04-24,tv,finished_airing,r,1440,"Action, Adult Cast, Award Winning, Sci-Fi, Space",Sunrise
5,Cowboy Bebop: Tengoku no Tobira,カウボーイビバップ 天国の扉,Cowboy Bebop: The Movie,https://cdn.myanimelist.net/images/anime/1439/93480.webp,8.38,250,416178,234121,1,2001-09-01,2001-09-01,movie,finished_airing,r,6911,"Action, Adult Cast, Sci-Fi, Space",Bones
6,Trigun,トライガン,Trigun,https://cdn.myanimelist.net/images/anime/1130/120002.jpg,8.22,428,843865,404824,26,1998-04-01,1998-09-30,tv,finished_airing,pg_13,1480,"Action, Adult Cast, Adventure, Sci-Fi, Shounen",Madhouse
7,Witch Hunter Robin,Witch Hunter ROBIN (ウイッチハンターロビン),Witch Hunter Robin,https://cdn.myanimelist.net/images/anime/10/19969.jpg,7.24,3541,131604,46578,26,2002-07-03,2002-12-25,tv,finished_airing,pg_13,1500,"Action, Detective, Drama, Mystery, Supernatural",Sunrise
8,Bouken Ou Beet,冒険王ビィト,Beet the Vandel Buster,https://cdn.myanimelist.net/images/anime/7/21569.webp,6.97,4998,16756,6967,52,2004-09-30,2005-09-29,tv,finished_airing,pg,1380,"Action, Adventure, Fantasy, Shounen",Toei Animation
15,Eyeshield 21,アイシールド21,,https://cdn.myanimelist.net/images/anime/1079/133529.jpg,7.91,903,197314,93802,145,2005-04-06,2008-03-19,tv,finished_airing,pg_13,1380,"Shounen, Sports, Team Sports",Gallop
16,Hachimitsu to Clover,ハチミツとクローバー,Honey and Clover,https://cdn.myanimelist.net/images/anime/1301/133577.jpg,7.98,782,287503,87305,24,2005-04-15,2005-09-27,tv,finished_airing,pg_13,1419,"Adult Cast, Comedy, Drama, Josei, Love Polygon, Romance, Visual Arts",J.C.Staff
17,Hungry Heart: Wild Striker,ハングリーハート Wild Striker,,https://cdn.myanimelist.net/images/anime/12/49655.webp,7.57,1898,26925,14121,52,2002-09-11,2003-09-10,tv,finished_airing,pg_13,1400,"Shounen, Sports, Team Sports",Nippon Animation
18,Initial D Fourth Stage,頭文字〈イニシャル〉D FOURTH STAGE,,https://cdn.myanimelist.net/images/anime/9/10521.jpg,8.18,486,218266,121163,24,2004-04-17,2006-02-18,tv,finished_airing,pg_13,1620,"Action, Drama, Racing, Seinen",A.C.G.T.
19,Monster,モンスター,Monster,https://cdn.myanimelist.net/images/anime/10/18793.jpg,8.9,26,1357440,524212,74,2004-04-07,2005-09-28,tv,finished_airing,r+,1440,"Adult Cast, Drama, Mystery, Psychological, Seinen, Suspense",Madhouse
