id,name
1,Pierrot
2,Kyoto Animation
3,Gonzo
4,Bones
5,Bee Train
6,Gainax
7,J.C.Staff
8,Artland
10,Production I.G
11,Madhouse
13,Studio 4°C
14,Sunrise
18,Toei Animation
21,Studio Ghibli
22,Nippon Animation
24,Studio Fantasia
27,Xebec
28,OLM
29,VAP
30,Ajia-do
32,Manglobe
34,HAL Film Maker
35,Seven Arcs
36,Gallop
37,Studio Deen
38,Arms
39,Daume
41,Satelight
43,ufotable
44,Shaft
47,Khara
48,AIC
49,Remic
50,KSS
51,Diomedéa
54,Mook Animation
56,A-1 Pictures
59,Beat Frog
60,Actas
61,Frontier Works
62,Shogakukan-Shueisha Productions
63,Trinet Entertainment
64,Sotsu
65,Tokyo Movie Shinsha
67,OB Planning
68,Mushi Production
69,Front Line
70,Nomad
72,Artmic
73,TMS Entertainment
75,Imagin
77,APPP
78,Picture Magic
79,Genco
80,Trans Arts
81,Radix
82,Marvelous Entertainment
83,AIC Spirits
84,Studio Rikka
86,Group TAC
88,AIC ASTA
89,BeSTACK
91,feel.
93,Studio Flag
94,Telecom Animation Film
95,Doga Kobo
96,Yumeta Company
101,Studio Hibari
103,Tatsunoko Production
107,Plum
108,Media Factory
110,Triangle Staff
111,NHK
112,Brain's Base
114,Studio Matrix
117,Studio Izena
118,SynergySP
120,TNK
122,Tokyo Kids
126,Studio Comet
131,G&G Entertainment
132,P.A. Works
134,HoriPro
136,Vega Entertainment
137,PPM
138,Himajin Planning
139,Nihon Ad Systems
141,Toei Video
144,Pony Canyon
150,Sanrio
154,E&G Films
155,animate Film
163,asread.
166,Movic
168,Shelty
169,Fuji TV
170,Imagica
171,A-Line
175,Planet
176,Ginga Ya
177,Studio Kyuuma
179,A.C.G.T.
183,Agent 21
191,Eiken
192,Shinkuukan
193,Idea Factory
196,Production Reed
198,Gakken
200,Tezuka Productions
207,Magic Bus
216,Studio Tron
218,Zexcs
226,Panmedia
228,Daewon Media
229,The Answer Studio
231,CyberConnect2
234,Oh! Production
235,Shirogumi
239,Y.O.U.C
242,Ashi Productions
246,Visual 80
247,Shin-Ei Animation
249,Robot Communications
253,Rikuentai
254,Soft Garage
255,Imagi
256,Studio Kikan
258,Echo
259,Kaeruotoko Shokai
265,Valkyria
271,Barnum Studio
272,Studio Kajino
273,Think Corporation
274,Suzuki Mirano
275,Kojiro Shishido Animation Works
276,DLE
280,Studio Junio
281,Kokusai Eigasha
285,Four Some
287,David Production
288,Kaname Productions
289,ACiD FiLM
290,Kinema Citrus
291,CoMix Wave Films
292,AIC PLUS+
293,Picograph
298,Anima
299,Studio Pastoral
300,SILVER LINK.
304,Primastea
307,Sunwoo Entertainment
309,GoHands
312,Life Work
314,White Fox
315,DAX Production
318,WAO World
322,Bee Media
323,Nippon Columbia
324,Directions
325,Code
326,Animation 21
329,Phoenix Entertainment
330,Kanaban Graphics
331,Indeprox
333,TYO Animations
334,Ordet
336,JM Animation
338,Studio Bogey
340,Future Planet
343,Puzzle Animation Studio Limited
346,Hoods Entertainment
347,PrimeTime
349,Itasca Studio
350,The Village of Marchen
354,Encourage Films
358,Telescreen
361,Oxybot
363,Topcraft
364,Sovat Theater
365,PoRO
366,Tomoyasu Murata Company
367,Heewon Entertainment
370,Iyasakadou Film
373,Panda Factory
374,Plus Heads
375,I.Toon
377,Kuri Jikken Manga Koubou
379,Avaco Creative Studios
381,Yamato Works
385,Tele-Cartoon Japan
386,Animaruya
388,Tamura Shigeru Studio
389,I-move
390,Tsuchida Productions
391,Grouper Productions
395,Oz Inc.
397,Bridge
398,Milky Cartoon
400,Gathering
401,ChuChu
403,Tokyo Media Connections
404,Studio Unicorn
405,T-Rex
406,Asahi Production
407,Studio 9 Maiami
409,Studio Egg
412,Studio Wombat
413,Pastel
418,Studio Gokumi
420,ACC Production
422,Schoolzone
423,Studio Eromatick
425,AIC Takarazuka
426,Filmlink International
427,Studio G-1Neo
429,Office AO
430,Mad Box
432,Kachidoki Studio
433,Viewworks
434,Synergy Japan
435,Studio Zero
436,AIC Build
437,Kamikaze Douga
438,Studio Signal
439,Project No.9
441,8bit
